brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,clean_title_missing,vehicle_age,milage_bin,brand_model,log_price,model_year_milage,brand_model_year,brand_milage,fuel_type_milage,brand_clean_title_missing,fuel_type_clean_title_missing,accident_clean_title_missing,brand_fuel_type,accident_clean_title
RAM,1500 Classic SLT,2021,32092,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113,0,3,<50k,RAM_1500 Classic SLT,10.466326711254153,64857932,RAM_2021,RAM_32092,Gasoline_32092,RAM_0,Gasoline_0,None reported_0,RAM_Gasoline,None reported_Yes
Lexus,GS 350 Base,2014,85275,Gasoline,3.5 Liter,Automatic,Nebula Gray Pearl,Black,At least 1 accident or damage reported,Unknown,23998,1,10,50k-100k,Lexus_GS 350 Base,10.085725772524334,171743850,Lexus_2014,Lexus_85275,Gasoline_85275,Lexus_1,Gasoline_1,At least 1 accident or damage reported_1,Lexus_Gasoline,At least 1 accident or damage reported_Unknown
Hyundai,Tucson Limited,2016,138000,Gasoline,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,10990,0,8,100k-150k,Hyundai_Tucson Limited,9.304741047397666,278208000,Hyundai_2016,Hyundai_138000,Gasoline_138000,Hyundai_0,Gasoline_0,None reported_0,Hyundai_Gasoline,None reported_Yes
Chevrolet,SSR Base,2003,87500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,16999,0,21,50k-100k,Chevrolet_SSR Base,9.74090979777877,175262500,Chevrolet_2003,Chevrolet_87500,Gasoline_87500,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Maserati,GranTurismo Base,2013,34920,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,38900,0,11,<50k,Maserati_GranTurismo Base,10.568749529606537,70293960,Maserati_2013,Maserati_34920,Gasoline_34920,Maserati_0,Gasoline_0,None reported_0,Maserati_Gasoline,None reported_Yes
Tesla,Model X Performance,2020,27224,Gasoline,Electric,1-Speed Automatic,Black,Black,None reported,Unknown,65999,1,4,<50k,Tesla_Model X Performance,11.097394869378626,54992480,Tesla_2020,Tesla_27224,Gasoline_27224,Tesla_1,Gasoline_1,None reported_1,Tesla_Gasoline,None reported_Unknown
BMW,M2 Base,2018,25000,Gasoline,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,52000,0,6,<50k,BMW_M2 Base,10.858998997563564,50450000,BMW_2018,BMW_25000,Gasoline_25000,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Tesla,Model Y Long Range,2021,14642,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,48500,0,3,<50k,Tesla_Model Y Long Range,10.789319076925574,29591482,Tesla_2021,Tesla_14642,Gasoline_14642,Tesla_0,Gasoline_0,None reported_0,Tesla_Gasoline,None reported_Yes
Subaru,Outback 2.5i Limited,2015,162000,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,13999,0,9,150k-200k,Subaru_Outback 2.5i Limited,9.546741177474825,326430000,Subaru_2015,Subaru_162000,Gasoline_162000,Subaru_0,Gasoline_0,None reported_0,Subaru_Gasoline,None reported_Yes
Buick,Roadmaster Estate,1996,119500,Gasoline,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,16999,0,28,100k-150k,Buick_Roadmaster Estate,9.74090979777877,238522000,Buick_1996,Buick_119500,Gasoline_119500,Buick_0,Gasoline_0,At least 1 accident or damage reported_0,Buick_Gasoline,At least 1 accident or damage reported_Yes
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,36500,0,7,100k-150k,Land_Rover Range Rover 5.0L Supercharged,10.505067539570582,205330600,Land_2017,Land_101800,Gasoline_101800,Land_0,Gasoline_0,None reported_0,Land_Gasoline,None reported_Yes
Ford,Expedition Max XLT,2021,84351,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Ebony,None reported,Yes,42691,0,3,50k-100k,Ford_Expedition Max XLT,10.661743404167277,170473371,Ford_2021,Ford_84351,Gasoline_84351,Ford_0,Gasoline_0,None reported_0,Ford_Gasoline,None reported_Yes
Nissan,Leaf SL,2012,26930,Gasoline,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,6700,0,12,<50k,Nissan_Leaf SL,8.809862805379057,54183160,Nissan_2012,Nissan_26930,Gasoline_26930,Nissan_0,Gasoline_0,None reported_0,Nissan_Gasoline,None reported_Yes
Toyota,Tacoma TRD Pro,2019,40698,Gasoline,3.5L V6 24V PDI DOHC,6-Speed,Super White,Black,None reported,Unknown,42886,1,5,<50k,Toyota_Tacoma TRD Pro,10.666300711329177,82169262,Toyota_2019,Toyota_40698,Gasoline_40698,Toyota_1,Gasoline_1,None reported_1,Toyota_Gasoline,None reported_Unknown
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Red,None reported,Yes,112500,0,4,<50k,Mercedes-Benz_AMG GT 63 S 4-Door,11.630708500626612,80800000,Mercedes-Benz_2020,Mercedes-Benz_40000,Gasoline_40000,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
BMW,230 i,2019,30000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,29000,0,5,<50k,BMW_230 i,10.275051108968611,60570000,BMW_2019,BMW_30000,Gasoline_30000,BMW_0,Gasoline_0,At least 1 accident or damage reported_0,BMW_Gasoline,At least 1 accident or damage reported_Yes
Lexus,ES 350 Base,2007,78980,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10600,0,17,50k-100k,Lexus_ES 350 Base,9.268609280100158,158512860,Lexus_2007,Lexus_78980,Gasoline_78980,Lexus_0,Gasoline_0,At least 1 accident or damage reported_0,Lexus_Gasoline,At least 1 accident or damage reported_Yes
Porsche,911 Carrera S Cabriolet,2007,28844,Gasoline,3.8L H6 24V MPFI DOHC,6-Speed Manual,White,Beige,No,Unknown,69995,1,17,<50k,Porsche_911 Carrera S Cabriolet,11.156179089908926,57889908,Porsche_2007,Porsche_28844,Gasoline_28844,Porsche_1,Gasoline_1,No_1,Porsche_Gasoline,No_Unknown
Porsche,Taycan Turbo,2020,21028,Gasoline,Dual AC Electric Motors,Single-Speed Fixed Gear,BLACK,BEIGE,None reported,Unknown,96900,1,4,<50k,Porsche_Taycan Turbo,11.481434797878858,42476560,Porsche_2020,Porsche_21028,Gasoline_21028,Porsche_1,Gasoline_1,None reported_1,Porsche_Gasoline,None reported_Unknown
Maserati,Levante Modena,2023,5409,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Black,None reported,Yes,88950,0,1,<50k,Maserati_Levante Modena,11.395829693093981,10942407,Maserati_2023,Maserati_5409,Gasoline_5409,Maserati_0,Gasoline_0,None reported_0,Maserati_Gasoline,None reported_Yes
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,69900,0,4,<50k,Dodge_Challenger SRT Hellcat,11.154820928221902,25654000,Dodge_2020,Dodge_12700,Gasoline_12700,Dodge_0,Gasoline_0,At least 1 accident or damage reported_0,Dodge_Gasoline,At least 1 accident or damage reported_Yes
Mazda,Mazda6 Touring,2021,19000,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,No,Unknown,25900,1,3,<50k,Mazda_Mazda6 Touring,10.16199824768763,38399000,Mazda_2021,Mazda_19000,Gasoline_19000,Mazda_1,Gasoline_1,No_1,Mazda_Gasoline,No_Unknown
Audi,S4 3.0T Premium,2019,12000,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000,0,5,<50k,Audi_S4 3.0T Premium,10.778956289890028,24228000,Audi_2019,Audi_12000,Gasoline_12000,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
Ford,Mustang GT Premium,2016,25717,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,33900,0,8,<50k,Ford_Mustang GT Premium,10.431170293368542,51845472,Ford_2016,Ford_25717,Gasoline_25717,Ford_0,Gasoline_0,None reported_0,Ford_Gasoline,None reported_Yes
Tesla,Model Y Long Range,2022,12055,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,44400,0,2,<50k,Tesla_Model Y Long Range,10.700994748420316,24375210,Tesla_2022,Tesla_12055,Gasoline_12055,Tesla_0,Gasoline_0,None reported_0,Tesla_Gasoline,None reported_Yes
Audi,TTS 2.0T Premium Plus,2011,69700,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Orange,–,At least 1 accident or damage reported,Yes,23000,0,13,50k-100k,Audi_TTS 2.0T Premium Plus,10.043249494911286,140166700,Audi_2011,Audi_69700,Gasoline_69700,Audi_0,Gasoline_0,At least 1 accident or damage reported_0,Audi_Gasoline,At least 1 accident or damage reported_Yes
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000,0,4,<50k,BMW_M2 Competition,10.915088464214607,50526260,BMW_2020,BMW_25013,Gasoline_25013,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Audi,Q4 e-tron Sportback Premium,2023,1156,Gasoline,295.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,54900,0,1,<50k,Audi_Q4 e-tron Sportback Premium,10.913268627497622,2338588,Audi_2023,Audi_1156,Gasoline_1156,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
BMW,740 i,2016,57939,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,27500,0,8,50k-100k,BMW_740 i,10.221941283654663,116805024,BMW_2016,BMW_57939,Gasoline_57939,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,49999,0,6,50k-100k,Mercedes-Benz_AMG GLE 43 Coupe 4MATIC,10.81975828421028,106336492,Mercedes-Benz_2018,Mercedes-Benz_52694,Gasoline_52694,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,37000,0,9,50k-100k,Mercedes-Benz_S-Class S 550 4MATIC,10.51867319162636,108810000,Mercedes-Benz_2015,Mercedes-Benz_54000,Gasoline_54000,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Honda,S2000 Base,2002,110500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Red,None reported,Yes,27000,0,22,100k-150k,Honda_S2000 Base,10.203592144986466,221221000,Honda_2002,Honda_110500,Gasoline_110500,Honda_0,Gasoline_0,None reported_0,Honda_Gasoline,None reported_Yes
Chevrolet,Corvette Base,2000,97500,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,10000,0,24,50k-100k,Chevrolet_Corvette Base,9.210340371976184,195000000,Chevrolet_2000,Chevrolet_97500,Gasoline_97500,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Chevrolet,Colorado Z71,2020,20909,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,None reported,Yes,35387,0,4,<50k,Chevrolet_Colorado Z71,10.474099800037397,42236180,Chevrolet_2020,Chevrolet_20909,Gasoline_20909,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Mercedes-Benz,S-Class S 63 AMG,2013,77648,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,40000,0,11,50k-100k,Mercedes-Benz_S-Class S 63 AMG,10.596634733096073,156305424,Mercedes-Benz_2013,Mercedes-Benz_77648,Gasoline_77648,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Bentley,Continental GTC Base,2013,79422,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,64000,0,11,50k-100k,Bentley_Continental GTC Base,11.06663836234181,159876486,Bentley_2013,Bentley_79422,Gasoline_79422,Bentley_0,Gasoline_0,None reported_0,Bentley_Gasoline,None reported_Yes
GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850,Gasoline,340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,16900,0,22,50k-100k,GMC_Sierra 2500 SLE H/D Extended Cab,9.735068900911164,107807700,GMC_2002,GMC_53850,Gasoline_53850,GMC_0,Gasoline_0,At least 1 accident or damage reported_0,GMC_Gasoline,At least 1 accident or damage reported_Yes
Audi,SQ5 3.0T Premium,2020,21832,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000,0,4,<50k,Audi_SQ5 3.0T Premium,10.645424897265505,44100640,Audi_2020,Audi_21832,Gasoline_21832,Audi_0,Gasoline_0,None reported_0,Audi_Gasoline,None reported_Yes
Toyota,Corolla iM Base,2017,41932,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,18700,0,7,<50k,Toyota_Corolla iM Base,9.836278802842678,84576844,Toyota_2017,Toyota_41932,Gasoline_41932,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
GMC,Yukon XL SLT,2017,110000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,34999,0,7,100k-150k,GMC_Yukon XL SLT,10.463074768634808,221870000,GMC_2017,GMC_110000,Gasoline_110000,GMC_0,Gasoline_0,At least 1 accident or damage reported_0,GMC_Gasoline,At least 1 accident or damage reported_Yes
Toyota,Tundra 1794,2020,67400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,47500,0,4,50k-100k,Toyota_Tundra 1794,10.768484990022733,136148000,Toyota_2020,Toyota_67400,Gasoline_67400,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
Subaru,WRX Premium,2017,62662,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,24000,0,7,50k-100k,Subaru_WRX Premium,10.085809109330082,126389254,Subaru_2017,Subaru_62662,Gasoline_62662,Subaru_0,Gasoline_0,At least 1 accident or damage reported_0,Subaru_Gasoline,At least 1 accident or damage reported_Yes
Subaru,WRX Base,2015,102000,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,18000,0,9,100k-150k,Subaru_WRX Base,9.798127036878302,205530000,Subaru_2015,Subaru_102000,Gasoline_102000,Subaru_0,Gasoline_0,At least 1 accident or damage reported_0,Subaru_Gasoline,At least 1 accident or damage reported_Yes
INFINITI,Q50 Premium,2014,79785,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,16488,0,10,50k-100k,INFINITI_Q50 Premium,9.710388122570295,160686990,INFINITI_2014,INFINITI_79785,Gasoline_79785,INFINITI_0,Gasoline_0,At least 1 accident or damage reported_0,INFINITI_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Suburban Premier,2017,166549,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,24950,0,7,150k-200k,Chevrolet_Suburban Premier,10.124629101179664,335929333,Chevrolet_2017,Chevrolet_166549,Gasoline_166549,Chevrolet_0,Gasoline_0,At least 1 accident or damage reported_0,Chevrolet_Gasoline,At least 1 accident or damage reported_Yes
Toyota,Sequoia Limited,2006,190656,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,8900,0,18,150k-200k,Toyota_Sequoia Limited,9.093806555720231,382455936,Toyota_2006,Toyota_190656,Gasoline_190656,Toyota_0,Gasoline_0,At least 1 accident or damage reported_0,Toyota_Gasoline,At least 1 accident or damage reported_Yes
Dodge,Challenger R/T Scat Pack,2016,7928,–,–,6-Speed M/T,Red,Red,None reported,Yes,37500,0,8,<50k,Dodge_Challenger R/T Scat Pack,10.532096211958502,15982848,Dodge_2016,Dodge_7928,–_7928,Dodge_0,–_0,None reported_0,Dodge_–,None reported_Yes
Porsche,Cayenne GTS,2009,135606,Gasoline,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,15000,0,15,100k-150k,Porsche_Cayenne GTS,9.615805480084347,272432454,Porsche_2009,Porsche_135606,Gasoline_135606,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Kia,Telluride S,2023,14700,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,39900,0,1,<50k,Kia_Telluride S,10.594131602877955,29738100,Kia_2023,Kia_14700,Gasoline_14700,Kia_0,Gasoline_0,None reported_0,Kia_Gasoline,None reported_Yes
Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,96000,0,5,<50k,Mercedes-Benz_AMG E 63 S 4MATIC,11.472103470449973,26216715,Mercedes-Benz_2019,Mercedes-Benz_12985,Gasoline_12985,Mercedes-Benz_0,Gasoline_0,At least 1 accident or damage reported_0,Mercedes-Benz_Gasoline,At least 1 accident or damage reported_Yes
BMW,Z4 sDrive35is,2014,4200,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,64995,0,10,<50k,BMW_Z4 sDrive35is,11.08206562284212,8458800,BMW_2014,BMW_4200,Gasoline_4200,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Subaru,Impreza 2.0i Sport,2017,44000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,23500,0,7,<50k,Subaru_Impreza 2.0i Sport,10.06475570013225,88748000,Subaru_2017,Subaru_44000,Gasoline_44000,Subaru_0,Gasoline_0,None reported_0,Subaru_Gasoline,None reported_Yes
Dodge,Dart SE,2015,66000,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,12000,0,9,50k-100k,Dodge_Dart SE,9.392661928770137,132990000,Dodge_2015,Dodge_66000,Gasoline_66000,Dodge_0,Gasoline_0,None reported_0,Dodge_Gasoline,None reported_Yes
Land,Rover Range Rover P525 Westminster,2021,17945,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Santorini Black Metallic,Ebony,None reported,Unknown,89900,1,3,<50k,Land_Rover Range Rover P525 Westminster,11.406453220459712,36266845,Land_2021,Land_17945,Gasoline_17945,Land_1,Gasoline_1,None reported_1,Land_Gasoline,None reported_Unknown
Nissan,370Z Base,2013,106700,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,17500,0,11,100k-150k,Nissan_370Z Base,9.769956159911606,214787100,Nissan_2013,Nissan_106700,Gasoline_106700,Nissan_0,Gasoline_0,None reported_0,Nissan_Gasoline,None reported_Yes
Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,55000,0,4,100k-150k,Cadillac_Escalade ESV Luxury,10.915088464214607,242400000,Cadillac_2020,Cadillac_120000,Gasoline_120000,Cadillac_0,Gasoline_0,None reported_0,Cadillac_Gasoline,None reported_Yes
Mercedes-Benz,E-Class E 350,2012,59600,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,19900,0,12,50k-100k,Mercedes-Benz_E-Class E 350,9.898475010712584,119915200,Mercedes-Benz_2012,Mercedes-Benz_59600,Gasoline_59600,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Kia,Optima Hybrid EX,2012,117220,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,8900,0,12,100k-150k,Kia_Optima Hybrid EX,9.093806555720231,235846640,Kia_2012,Kia_117220,Hybrid_117220,Kia_0,Hybrid_0,None reported_0,Kia_Hybrid,None reported_Yes
Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Gray,None reported,Yes,67500,0,2,50k-100k,Chevrolet_Silverado 3500 LTZ,11.119882876860622,172274400,Chevrolet_2022,Chevrolet_85200,Diesel_85200,Chevrolet_0,Diesel_0,None reported_0,Chevrolet_Diesel,None reported_Yes
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,24325,0,6,50k-100k,Volkswagen_Golf GTI 2.0T SE 4-Door,10.099259907054206,128042100,Volkswagen_2018,Volkswagen_63450,Gasoline_63450,Volkswagen_0,Gasoline_0,None reported_0,Volkswagen_Gasoline,None reported_Yes
Dodge,Ram 1500 SRT-10,2004,73000,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,None reported,Yes,22500,0,20,50k-100k,Dodge_Ram 1500 SRT-10,10.021270588192511,146292000,Dodge_2004,Dodge_73000,Gasoline_73000,Dodge_0,Gasoline_0,None reported_0,Dodge_Gasoline,None reported_Yes
Scion,tC Anniversary Edition,2014,115000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Silver,None reported,Yes,11495,0,10,100k-150k,Scion_tC Anniversary Edition,9.349667437197281,231610000,Scion_2014,Scion_115000,Gasoline_115000,Scion_0,Gasoline_0,None reported_0,Scion_Gasoline,None reported_Yes
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,49900,0,8,50k-100k,Land_Rover Range Rover 5.0L Supercharged Autobiography,10.81777628173961,112896000,Land_2016,Land_56000,Gasoline_56000,Land_0,Gasoline_0,None reported_0,Land_Gasoline,None reported_Yes
Lexus,LS 500 Base,2018,67296,Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv","Automatic, 10-Spd",–,–,None reported,Unknown,40900,1,6,50k-100k,Lexus_LS 500 Base,10.618885342030893,135803328,Lexus_2018,Lexus_67296,Gasoline_67296,Lexus_1,Gasoline_1,None reported_1,Lexus_Gasoline,None reported_Unknown
Chevrolet,Suburban 1500 LT,2015,179200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,16000,0,9,150k-200k,Chevrolet_Suburban 1500 LT,9.680344001221918,361088000,Chevrolet_2015,Chevrolet_179200,Gasoline_179200,Chevrolet_0,Gasoline_0,At least 1 accident or damage reported_0,Chevrolet_Gasoline,At least 1 accident or damage reported_Yes
Maserati,GranTurismo Base,2015,28000,Gasoline,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,44999,0,9,<50k,Maserati_GranTurismo Base,10.714395546283317,56420000,Maserati_2015,Maserati_28000,Gasoline_28000,Maserati_0,Gasoline_0,None reported_0,Maserati_Gasoline,None reported_Yes
Porsche,911 Carrera Turbo,2003,155000,Gasoline,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,55000,0,21,150k-200k,Porsche_911 Carrera Turbo,10.915088464214607,310465000,Porsche_2003,Porsche_155000,Gasoline_155000,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Hyundai,Sonata Hybrid Base,2012,154000,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Green,Gray,At least 1 accident or damage reported,Yes,8500,0,12,150k-200k,Hyundai_Sonata Hybrid Base,9.047821442478408,309848000,Hyundai_2012,Hyundai_154000,Hybrid_154000,Hyundai_0,Hybrid_0,At least 1 accident or damage reported_0,Hyundai_Hybrid,At least 1 accident or damage reported_Yes
Cadillac,CTS Luxury,2012,62500,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,18955,0,12,50k-100k,Cadillac_CTS Luxury,9.849823027950436,125750000,Cadillac_2012,Cadillac_62500,Gasoline_62500,Cadillac_0,Gasoline_0,At least 1 accident or damage reported_0,Cadillac_Gasoline,At least 1 accident or damage reported_Yes
BMW,323 Ci,2000,177700,Gasoline,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,Yes,2500,0,24,150k-200k,BMW_323 Ci,7.824046010856292,355400000,BMW_2000,BMW_177700,Gasoline_177700,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Tesla,Model 3 Standard Range Plus,2019,83700,Gasoline,Electric Motor Electric Fuel System,A/T,Black,Black,At least 1 accident or damage reported,Yes,26000,0,5,50k-100k,Tesla_Model 3 Standard Range Plus,10.165851817003619,168990300,Tesla_2019,Tesla_83700,Gasoline_83700,Tesla_0,Gasoline_0,At least 1 accident or damage reported_0,Tesla_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,1500 Cheyenne Extended Cab,1995,120000,–,–,4-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,6500,0,29,100k-150k,Chevrolet_1500 Cheyenne Extended Cab,8.779557455883728,239400000,Chevrolet_1995,Chevrolet_120000,–_120000,Chevrolet_0,–_0,At least 1 accident or damage reported_0,Chevrolet_–,At least 1 accident or damage reported_Yes
